material_code,item_code,item_name,collection_code,item_collection_notes
M01,I001,Butter  ,O,
M01,I002,Cheese  ,O,
M01,I003,Sour cream  ,O,
M01,I004,Yogurt ,O,
M02,I005,Coffee filters and grounds  ,O,
M02,I006,Cooking oils  ,O,(solidified)
M02,I007,Eggs and eggshells  ,O,
M02,I008,Herbs  ,O,
M02,I009,Nuts and seeds  ,O,
M02,I010,Sugar and spices  ,O,
M02,I011,Tea bags ,O,
M04,I012,Bread ,O,
M04,I013,Cereal ,O,
M04,I014,Flour  ,O,
M04,I015,Pasta  ,O,
M04,I016,Rice ,O,
M07,I017,Bedding  ,O,
M07,I018,Feathers  ,O,
M07,I019,Hair  ,O,
M07,I020,Kitty litter  ,O,
M07,I021,Pet food ,O,
M07,I022,Vegetables   ,O,(no elastics)
M07,I023,Corn cobs and husks  ,O,
M07,I024,Popcorn  ,O,
M07,I025,Pumpkins,O, (in pieces) 
M08,I026,Ashes  ,O,
M08,I027,"Paper soiled with food (plates, pizza boxes, and muffin cups) ",O,
M08,I028,Paper tissues  ,O,
M08,I029,Paper towels  ,O,
M08,I030,Sawdust,O,(no wood pieces or pressure treated wood)
M09,I031,Ice cream containers  ,R,
M09,I032,Polycoat (milk cartons)  ,R,
M09,I033,Tetra Paks (juice boxes) ,R,
M10,I034,Bottles and jars (all colours) ,R,
M11,I035,Aluminum (foil and pie plates),R,
M11,I036,Paint cans,R,(empty and dry)  
M11,I037,Pop cans,R,
M11,I038,Steel cans (soup and tuna),R,
M12,I039,Books ,R,(hard cover removed)
M12,I040,Boxboard  ,R,
M12,I041,Bristol board  ,R,
M12,I042,Calendars   ,R,(spiral removed)
M12,I043,Cardboard  ,R,
M12,I044,Envelopes (including window envelopes),R,
M12,I045,Cigarette packages ,R,(foil inserts removed)
M12,I046,Egg cartons  ,R,
M12,I047,File folders  ,R,
M12,I048,Gift bags  ,R,(rope removed) 
M12,I049,Gift wrap (non-metallic)  ,R,
M12,I050,Gift cards  ,R,
M12,I051,Magazines ,R,
M12,I052,Newspapers and flyers  ,R,
M12,I053,Paper  ,R,
M12,I054,Pizza boxes  ,R,
M12,I055,Posters  ,R,
M12,I056,Shredded paper,R, (in a separate blue plastic bag)
M12,I057,Sticky notes  ,R,
M12,I058,Telephone books  ,R,
M12,I059,Tissue boxes  ,R,
M12,I060,Toilet paper rolls ,R,
M13,I061,Bottles and containers (all numbers),R,
M13,I062,Detergent bottles,R,
M13,I063,Laundry hampers,R,
M13,I064,Medicine bottles (non-prescription),R,
M13,I065,"Plant pots, trays and flats",R,
M13,I066,Tubs and lids from food containers,R,
M14,I067,Motor oil bottle  ,L, (empty)
M14,I068,"Nails, screws  ",L,
M14,I069,Wood ,L,(small pieces) 
M14,I070,Tools ,L,
M15,I071,Balloons  ,L,
M15,I072,Board games  ,L,
M15,I073,Candles  ,L,
M15,I074,Carpet   ,L,(small pieces)
M15,I075,Cassette tapes  ,L,
M15,I076,CD’s / DVD’s  ,L,
M15,I077,Ceramics  ,L,
M15,I078,Clocks  ,L,
M15,I079,Clothing/fabric  ,L,
M15,I080,Curtains  ,L,
M15,I081,Diapers  ,L,
